id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;black;1;1;Kwazulu Natal;male;35;Channel O;2025-11-18T02:09:51.000Z
1;indian_asian;1;1;Kwazulu Natal;male;40;Supersport Live Events;2025-11-18T02:09:50.000Z
1;indian_asian;1;1;Free State;male;26;ICC Cricket World Cup 2011;2025-11-18T02:09:50.000Z
1;white;1;1;Gauteng;male;53;Supersport Live Events;2025-11-18T02:09:48.000Z
1;None;1;1;Gauteng;male;39;Supersport Live Events;2025-11-18T02:09:26.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T02:08:36.000Z
1;white;1;1;Gauteng;male;21;Supersport Live Events;2025-11-18T02:08:30.000Z
1;indian_asian;1;1;Eastern Cape;male;33;Supersport Live Events;2025-11-18T02:08:20.000Z
1;None;1;1;Western Cape;male;32;ICC Cricket World Cup 2011;2025-11-18T02:07:58.000Z
1;black;1;1;Gauteng;male;35;Supersport Live Events;2025-11-18T02:07:58.000Z
1;indian_asian;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T02:07:44.000Z
1;white;1;1;Gauteng;female;34;Supersport Live Events;2025-11-18T02:07:44.000Z
1;white;1;1;Gauteng;male;30;Supersport Live Events;2025-11-18T02:07:04.000Z
1;indian_asian;1;1;Gauteng;male;49;ICC Cricket World Cup 2011;2025-11-18T02:07:02.000Z
1;white;1;1;Western Cape;male;51;ICC Cricket World Cup 2011;2025-11-18T02:06:26.000Z
1;indian_asian;1;1;Eastern Cape;male;9;ICC Cricket World Cup 2011;2025-11-18T02:06:24.000Z
1;black;1;1;Gauteng;male;27;Channel O;2025-11-18T02:05:42.000Z
1;coloured;1;1;Western Cape;male;33;Trace TV;2025-11-18T02:05:33.000Z
1;black;1;1;Gauteng;male;31;ICC Cricket World Cup 2011;2025-11-18T02:05:26.000Z
1;white;1;1;Western Cape;male;30;ICC Cricket World Cup 2011;2025-11-18T02:05:22.000Z
1;black;1;1;Gauteng;male;32;Channel O;2025-11-18T02:04:45.000Z
1;black;1;1;Gauteng;male;28;Trace TV;2025-11-18T02:03:12.000Z
1;black;1;1;Western Cape;male;38;Supersport Live Events;2025-11-18T02:03:00.000Z
1;black;1;1;North West;male;25;Channel O;2025-11-18T02:02:57.000Z
1;coloured;1;1;Gauteng;male;21;Trace TV;2025-11-18T02:02:54.000Z
1;indian_asian;1;1;Gauteng;male;32;ICC Cricket World Cup 2011;2025-11-18T02:02:42.000Z
1;black;1;1;North West;male;43;CNN;2025-11-18T02:01:24.000Z
1;indian_asian;1;1;Gauteng;male;32;ICC Cricket World Cup 2011;2025-11-18T02:00:58.000Z
1;indian_asian;1;1;North West;male;31;ICC Cricket World Cup 2011;2025-11-18T02:00:40.000Z
1;indian_asian;1;1;Eastern Cape;male;43;ICC Cricket World Cup 2011;2025-11-18T02:00:28.000Z
1;black;1;1;Gauteng;male;26;Channel O;2025-11-18T01:59:48.000Z
1;black;1;1;Gauteng;male;27;SuperSport Blitz;2025-11-18T01:59:48.000Z
1;black;1;1;Gauteng;male;35;Trace TV;2025-11-18T01:58:21.000Z
1;indian_asian;1;1;Kwazulu Natal;male;29;ICC Cricket World Cup 2011;2025-11-18T01:58:04.000Z
1;indian_asian;1;1;Gauteng;male;31;ICC Cricket World Cup 2011;2025-11-18T01:56:52.000Z
1;indian_asian;1;1;Eastern Cape;male;31;ICC Cricket World Cup 2011;2025-11-18T01:56:32.000Z
1;white;1;1;Western Cape;male;41;ICC Cricket World Cup 2011;2025-11-18T01:56:14.000Z
1;indian_asian;1;1;Mpumalanga;male;36;ICC Cricket World Cup 2011;2025-11-18T01:55:50.000Z
1;indian_asian;1;1;Limpopo;male;37;ICC Cricket World Cup 2011;2025-11-18T01:55:22.000Z
1;indian_asian;1;1;Gauteng;male;39;ICC Cricket World Cup 2011;2025-11-18T01:53:58.000Z
1;indian_asian;1;1;Northern Cape;male;35;ICC Cricket World Cup 2011;2025-11-18T01:53:58.000Z
1;indian_asian;1;1;Eastern Cape;male;43;ICC Cricket World Cup 2011;2025-11-18T01:53:40.000Z
1;indian_asian;1;1;Limpopo;male;27;ICC Cricket World Cup 2011;2025-11-18T01:53:26.000Z
1;other;1;1;Gauteng;male;35;ICC Cricket World Cup 2011;2025-11-18T01:52:50.000Z
1;None;1;1;None;None;0;ICC Cricket World Cup 2011;2025-11-18T01:52:46.000Z
1;indian_asian;1;1;Gauteng;male;41;ICC Cricket World Cup 2011;2025-11-18T01:51:58.000Z
1;coloured;1;1;Western Cape;male;35;SuperSport Blitz;2025-11-18T01:51:48.000Z
1;black;1;1;Western Cape;female;34;Channel O;2025-11-18T01:51:12.000Z
1;indian_asian;1;1;Gauteng;male;28;Supersport Live Events;2025-11-18T01:50:20.000Z
1;indian_asian;1;1;Gauteng;male;37;ICC Cricket World Cup 2011;2025-11-18T01:49:52.000Z
1;indian_asian;1;1;Limpopo;male;26;ICC Cricket World Cup 2011;2025-11-18T01:49:16.000Z
1;black;1;1;Gauteng;female;32;Channel O;2025-11-18T01:49:03.000Z
1;black;1;1;Free State;male;21;SuperSport Blitz;2025-11-18T01:48:38.000Z
